Item,Qty,Reference(s),Value,Digikey,Mouser
1,1,J1,TO VECTREX,,806-K22X-E9S-NR
2,1,J2,JOYSTICK_COM-09032,1568-1526-ND,474-COM-09032
3,2,"R1, R3",2.2K,,603-CFR-25JR-522K2
4,2,"R2, R4",10K,,531-PT10LV113A22PMS
5,4,"SW1, SW2, SW3, SW4",SW_TACT,,688-SKHCBKA010
6,1,SW5,TOP_HAT_SEL,,611-SK-14D01-G6
